"","link","Brand","Model","Year","Engine","Body type","Doors","Seats","Length","Width","Height","Wheelbase","Weight","Max width","Boot capacity","Engine kw","Engine hp","Torque","Fuel supply","Cylinders","Cylinders diameter","Valves in cylinders","Gears","Fuel","Fuel capacity","Eco standart","ABS","Front brakes","Rear brakes","Tires","Wheels","Max speed","Acceleration","Fuel town","Fuel road","Fuel average"
"168","https://www.car-info.com/en/model/porsche/panamera/panamera-i-facelift/s-3-0-at-420-hp","Porsche","Panamera I Facelift","2013  - ","2997","Fastback","5","4","5015 mm","1931 mm","1418 mm","2920","1418 kg","2415 kg","126 l","308 kw","413 hp","308 N*m/rpm","Injection ","6","-","4","7","A-98","80 liters","EURO V","-","-","-","245/50 R18; 275/45 R18","-","287 km/h","5.1 s","11.9 l/100km","6.9 l/100km","8.7 l/100km"
"169","https://www.car-info.com/en/model/porsche/panamera/panamera-i-facelift/diesel-3-0d-at-250-hp","Porsche","Panamera I Facelift","2013  - 2013","2967","Fastback","5","4","5015 mm","1931 mm","1418 mm","2920","1418 kg","2500 kg","126 l","183 kw","245 hp","183 N*m/rpm","Common rail ","6","-","-","8","Diesel","80 liters","EURO V","-","-","-","245/50 R18; 275/45 R18","-","244 km/h","6.4 s","7.8 l/100km","5.5 l/100km","6.3 l/100km"
"170","https://www.car-info.com/en/model/porsche/panamera/panamera-i-facelift/diesel-3-0d-at-300-hp","Porsche","Panamera I Facelift","2013  - ","2967","Fastback","5","4","5015 mm","1931 mm","1418 mm","2920","1418 kg","2500 kg","126 l","220 kw","295 hp","220 N*m/rpm","Common rail ","6","-","4","8","Diesel","80 liters","EURO V","-","-","-","245/50 R18; 275/45 R18","-","259 km/h","6 s","-","-","6.4 l/100km"
"171","https://www.car-info.com/en/model/porsche/panamera/panamera-i-facelift/s-e-hybrid-3-0hyb-at-333-hp","Porsche","Panamera I Facelift","2013  - ","2995","Fastback","5","4","5015 mm","1931 mm","1418 mm","2920","1418 kg","2580 kg","126 l","244 kw","327 hp","244 N*m/rpm","Injection ","6","-","4","8","A-95","80 liters","EURO V","-","-","-","245/50 R18; 275/45 R18","-","270 km/h","5.5 s","-","-","3.1 l/100km"
"172","https://www.car-info.com/en/model/porsche/panamera/panamera-i-facelift/3-6-at-310-hp","Porsche","Panamera I Facelift","2013  - ","3605","Fastback","5","4","5015 mm","1931 mm","1418 mm","2920","1418 kg","2380 kg","126 l","227 kw","304 hp","227 N*m/rpm","Injection ","6","-","-","7","A-98","80 liters","EURO V","-","-","-","245/50 R18; 275/45 R18","-","259 km/h","6.3 s","11.2 l/100km","6.8 l/100km","8.4 l/100km"
"173","https://www.car-info.com/en/model/porsche/panamera/panamera-i-facelift/4-3-6-at-310-hp-4wd","Porsche","Panamera I Facelift","2013  - ","3605","Fastback","5","4","5015 mm","1931 mm","1418 mm","2920","1418 kg","2420 kg","126 l","227 kw","304 hp","227 N*m/rpm","Injection ","6","-","-","7","A-98","80 liters","EURO V","-","-","-","245/50 R18; 275/45 R18","-","257 km/h","6.1 s","11.4 l/100km","7.1 l/100km","8.7 l/100km"
"174","https://www.car-info.com/en/model/porsche/panamera/panamera-i-facelift/gts-4-8-at-440-hp-4wd","Porsche","Panamera I Facelift","2013  - ","4806","Fastback","5","4","5015 mm","1931 mm","1408 mm","2920","1408 kg","2500 kg","126 l","323 kw","433 hp","323 N*m/rpm","Injection ","8","-","4","7","A-98","100 liters","-","-","-","-","-","-","288 km/h","4.4 s","15.7 l/100km","7.8 l/100km","10.7 l/100km"
"175","https://www.car-info.com/en/model/porsche/panamera/panamera-i-facelift/turbo-4-8-at-520-hp-4wd-1","Porsche","Panamera I Facelift","2013  - ","4806","Fastback","5","4","5015 mm","1931 mm","1418 mm","2920","1418 kg","2500 kg","126 l","381 kw","511 hp","381 N*m/rpm","Injection ","8","-","4","7","A-98","100 liters","EURO V","-","-","-","255/45 R19; 285/40 R19","-","305 km/h","4.1 s","14.7 l/100km","7.7 l/100km","10.2 l/100km"
"176","https://www.car-info.com/en/model/porsche/panamera/panamera-i-facelift/turbo-s-4-8-at-570-hp-4wd","Porsche","Panamera I Facelift","2013  - ","4806","Fastback","5","4","5015 mm","1931 mm","1418 mm","2920","1418 kg","2500 kg","126 l","418 kw","560 hp","418 N*m/rpm","Injection ","8","96,0 mm","4","7","A-98","100 liters","EURO V","-","-","-","255/45 R19; 285/40 R19","-","310 km/h","3.8 s","14.7 l/100km","7.7 l/100km","10.2 l/100km"
"177","https://www.car-info.com/en/model/porsche/panamera/panamera-i-facelift/4s-executive-3-0-at-420-hp-4wd","Porsche","Panamera I Facelift","2013  - ","2997","Fastback","5","4","5165 mm","1931 mm","1425 mm","3070","1425 kg","2485 kg","126 l","308 kw","413 hp","308 N*m/rpm","Injection ","6","-","4","7","A-98","100 liters","EURO V","-","-","-","245/50 R18; 275/45 R18","-","286 km/h","5 s","12.4 l/100km","7.3 l/100km","9 l/100km"
