"","link","Brand","Model","year","Engine","body_type","Wheelbase","fuel_supply","valves_in_cylinders","Fuel","eco_standart","ABS","front_brakes","rear_brakes","length","width","height","weight","max_width","boot_capacity","engine_kw","engine_hp","torque","cylinders_diameter","fuel_capacity","max_speed","acceleration","fuel_town","fuel_road","fuel_avg","doors","seats","cylinders","gears","tires","wheels"
"99","https://www.car-info.com/en/model/porsche/968/968-cabrio/3-0-i-16v-240-hp","Porsche","968 Cabrio","1991  ",2990,"Coupe",2400,"Injection ","4","A-95",NA,"Yes",NA,NA,4320,1735,1275,1275,1790,NA,176,236,176,104,74,252,6.5,14.81,7.11,8.81,"2","2","4","6","235/40",NA
"100","https://www.car-info.com/en/model/porsche/968/968/3-0-i-16v-240-hp-1","Porsche","968","1991  ",2990,"Cabrio",2400,"Injection ","4","A-95",NA,"Yes",NA,NA,4320,1735,1275,1275,NA,NA,176,236,176,104,74,252,6.5,14.81,7.21,8.81,"2","2","4","6","265/35",NA
"101","https://www.car-info.com/en/model/porsche/968/968/3-0-i-16v-turbo-s-305-hp","Porsche","968","1993  ",2990,"Coupe",2400,"Injection ","4","A-95",NA,"Yes",NA,NA,4320,1735,1275,1275,1730,NA,224,300,224,104,74,280,5,NA,NA,NA,"2","2","4","6","265/35",NA
"102","https://www.car-info.com/en/model/porsche/968/968m/1-2l-v4-42hp","Porsche","968M","1979  ",1197,"Hatchback",2160,"Carburetor ",NA,"A-80",NA,NA,NA,NA,3765,1490,1425,1425,1200,NA,31,42,31,76,40,120,32,9.51,6.51,NA,NA,NA,NA,NA,"155/70","4J"
"103","https://www.car-info.com/en/model/porsche/boxster/boxster-iii-981/2-7-at-265-hp","Porsche","Boxster III (981)","2012  ",2706,"Roadster",2475,"Injection ","4","A-98","EURO V",NA,NA,NA,4374,1801,1282,1282,1675,280,194,260,194,NA,64,262,5.7,10.61,5.91,7.71,"2","2","6","7","205/55",NA
"104","https://www.car-info.com/en/model/porsche/boxster/boxster-iii-981/2-7-mt-265-hp","Porsche","Boxster III (981)","2012  ",2706,"Roadster",2475,"Injection ","4","A-98","EURO V",NA,NA,NA,4374,1801,1282,1282,1645,280,194,260,194,NA,64,264,5.8,11.41,6.31,8.21,"2","2","6","6","205/55",NA
"105","https://www.car-info.com/en/model/porsche/boxster/boxster-iii-981/s-3-4-at-315-hp","Porsche","Boxster III (981)","2012  ",3436,"Roadster",2475,"Injection ","4","A-95","EURO V",NA,NA,NA,4374,1801,1281,1281,1685,280,231,310,231,NA,64,277,5,11.21,6.21,8100,"2","2","6","7","235/40",NA
"106","https://www.car-info.com/en/model/porsche/boxster/boxster-iii-981/s-3-4-mt-315-hp","Porsche","Boxster III (981)","2012  ",3436,"Roadster",2475,"Injection ","4","A-95","EURO V",NA,NA,NA,4374,1801,1281,1281,1655,280,231,310,231,NA,64,279,5.1,12.21,6.91,8.81,"2","2","6","6","235/40",NA
"107","https://www.car-info.com/en/model/porsche/boxster/boxster-987/2-7i-boxter-at-239-hp","Porsche","Boxster (987)","2004  ",2687,"-",2415,"Injection ","4","A-98",NA,"Yes",NA,NA,4329,1801,1295,1295,1665,NA,175,235,175,NA,64,250,7.1,15.21,7.71,10.41,"2","2","6","5","205/55",NA
"108","https://www.car-info.com/en/model/porsche/boxster/boxster-987/2-7i-boxter-mt-239-hp","Porsche","Boxster (987)","2004  ",2687,"Coupe",2415,"Injection ","4","A-98",NA,"Yes",NA,NA,4329,1801,1295,1295,1610,NA,175,235,175,NA,64,256,6.2,13.91,6.91,9.61,"2","2","6","5","205/55",NA
"109","https://www.car-info.com/en/model/porsche/boxster/boxster-987/3-2-boxter-s-at-280-hp","Porsche","Boxster (987)","2004  ",3179,"Coupe",2415,"Injection ","4","A-98",NA,"Yes",NA,NA,4329,1801,1295,1295,1670,NA,205,275,205,NA,64,260,6.3,16.31,7.91,11100,"2","2","6","5","205/55",NA
